"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 03 22:37:17 GMT 2021","Sun Jan 03 22:37:18 GMT 2021","973","test","registration_tests","","","","Register With new User",""
"passed","Sun Jan 03 22:37:21 GMT 2021","Sun Jan 03 22:37:22 GMT 2021","1069","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Sun Jan 03 22:37:25 GMT 2021","Sun Jan 03 22:37:27 GMT 2021","1066","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Sun Jan 03 22:37:27 GMT 2021","Sun Jan 03 22:37:28 GMT 2021","842","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:37:19 GMT 2021","Sun Jan 03 22:37:20 GMT 2021","855","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:37:28 GMT 2021","Sun Jan 03 22:37:29 GMT 2021","876","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:37:16 GMT 2021","Sun Jan 03 22:37:17 GMT 2021","836","test","login_tests","","","","test_should_login[chromium]",""
"passed","Sun Jan 03 22:37:13 GMT 2021","Sun Jan 03 22:37:13 GMT 2021","815","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Sun Jan 03 22:37:23 GMT 2021","Sun Jan 03 22:37:24 GMT 2021","1121","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Sun Jan 03 22:37:14 GMT 2021","Sun Jan 03 22:37:15 GMT 2021","1045","test","login_tests","","","","Logout from System",""
"passed","Sun Jan 03 22:37:11 GMT 2021","Sun Jan 03 22:37:12 GMT 2021","975","test","login_tests","","","","Login With Valid Credentials",""
"passed","Sun Jan 03 22:37:18 GMT 2021","Sun Jan 03 22:37:19 GMT 2021","823","test","registration_tests","","","","Register With Existing Profile",""
